nr_concurr_msgs (8),throughput (Mops)
4,0.390262
8,0.649995
16,1.499484
32,0.0
64,3.920460
128,5.409341
512,5.677737
1024,5.470056
2048,5.279009
4096,5.047856
nr_concurr_msgs (32),throughput (Mops)
4,0.389991
8,0.646651
16,1.501096
32,2.537403
64,3.837901
128,5.540203
512,5.440178
1024,4.747443
2048,5.288753
4096,5.449416
nr_concurr_msgs (128),throughput (Mops)
4,0.389736
8,0.624722
16,1.507488
32,2.499990
64,3.837000
128,5.043192
512,5.700520
1024,5.205768
2048,5.508577
4096,5.619559
nr_concurr_msgs (512),throughput (Mops)
4,0.387348
8,0.666442
16,1.445865
32,2.344600
64,3.527270
128,5.186141
512,5.190012
1024,5.508677
2048,5.288423
4096,5.014987
nr_concurr_msgs (2048),throughput (Mops)
4,0.386669
8,0.702622
16,1.149856
32,1.663344
64,1.842242
128,2.125077
512,2.254016
1024,2.336848
2048,2.312258
4096,2.363260
nr_concurr_msgs (4096),throughput (Mops)
4,0.0
8,0.548788
16,0.778702
32,0.901094
64,0.991982
128,1.065520
512,1.108150
1024,1.103015
2048,1.105894
4096,1.103715
